Course,Name,Description,Notes,Prerequisites,Corequisites,Antirequisites
BIOL484,"Advanced Eukaryotic Genetics","The role of classical genetic analysis in the context of todays genomic era. Topics: meiotic recombination, meiosis, complementation analysis, chromosome aberrations, and genetic interactions.  Methods used in model eukaryotic genetic organisms such as forward and reverse genetic screens, genetic mosaics, conditional mutants, and genetic mapping will be discussed.  Examples will illustrate how genes continue to be identified using classical-based approaches in a variety of biological processes, including cell cycle progression, cancer and metastasis, learning and memory, as well as pattern formation and embryonic development.  Alternatives to traditional mutagenesis-based screens and the links between classical and molecular genetics will also be discussed.  [Offered: W]","","Prereq: BIOL 130, 139/239, 308","",""
BIOL485,"Conservation Biology","An introduction to conservation biology and the ongoing biodiversity crisis.  Topics will include the history of conservation biology and impacts on populations, communities, and ecosystems. [Offered: W]","","Prereq: BIOL 150 or 251; BIOL 359","",""
BIOL486,"Glycobiology","Monosaccharides and their linkages; conformations of oligosaccharides; glycoconjugates/glycoproteins: their physiological functions and how they are synthesized; O- and N-glycosylation; receptors and lectins; glycobiology of plants, viruses and microbes; glycobiology and disease; glycans as bio-energy sources. ","[Note: BIOL 331 recommended.  Offered:  F]","Prereq: BIOL 130; CHEM 233 or 237; CHEM 264 or 266","",""
BIOL487,"Computational Neuroscience","Introduction to modelling and analysis of neurophysiological systems. Models of synaptic plasticity and learning, with focus on the similarities and differences between neuroscience and deep learning. ","[Note: For systems design engineering students: It is recommended that one of BIOL 273, 376, 377 or BME 284 or SYDE 384/584 be taken before or concurrently with SYDE 552. Offered: W]","Prereq: One of CS 115,135, 200; 200-level STAT course; Level at least 3B within the Faculty of Science","",""
BIOL489,"Arctic Ecology","This course explores the unique ecology of Arctic and sub-Arctic ecosystems. Topics addressed will include postglacial history, climate, permafrost, nutrient cycling and food web structure of terrestrial, marine, and freshwater systems, plant and animal adaptations to cold, human ecology, traditional ecological knowledge, climate change, resource extraction, and other human impacts. ","[Note:  BIOL 350 recommended. Offered: W]","Prereq: One of BIOL 150, 251, ENVS 200; Level at least 3B","",""
BIOL490A,"Biology Field Course 1","A two-week field study of terrestrial, aquatic, and/or marine biology offered by the Ontario Universities Program in Field Biology (OUPFB). OUPFB offers a diverse array of courses annually that normally take place at off campus locations. Field courses consist of lectures, field exercises, and a small project chosen in consultation with the course instructor(s). Contact the Biology Department field course coordinator for additional information. ","[Note: Field course fee: $400-$4500. A Biology Department field course information session is held in early January of each year]","Prereq: BIOL 110, 120/220; One of BIOL 150, 251, ENVS 200; STAT 202 or ENVS 278","",""
BIOL490B,"Biology Field Course 2","A two-week field study of terrestrial, aquatic, and/or marine biology offered by the Ontario Universities Program in Field Biology (OUPFB). OUPFB offers a diverse array of courses annually that normally take place at off campus locations. Field courses consist of lectures, field exercises, and a small project chosen in consultation with the course instructor(s). Contact the Biology Department field course coordinator for additional information. ","[Note: Field course fee: $400-4500. A Biology Department field course information session is held in early January of each year]","Prereq: BIOL 110, 120/220; One of BIOL 150, 251, ENVS 200; STAT 202 or ENVS 278","",""
BIOL490C,"Biology Field Course 3","A two-week field study of terrestrial, aquatic, and/or marine biology offered by the Ontario Universities Program in Field Biology (OUPFB). OUPFB offers a diverse array of courses annually that normally take place at off campus locations. Field courses consist of lectures, field exercises, and a small project chosen in consultation with the course instructor(s). Contact the Biology Department field course coordinator for additional information. ","[Note: Field course fee: $400- $4500. A Biology Department field course information session is held in early January of each year]","Prereq: BIOL 110, 120/220; One of BIOL 150, 251, ENVS 200; STAT 202 or ENVS 278","",""
BIOL490D,"Biology Field Course 4","A two-week field study of terrestrial, aquatic, and/or marine biology offered by the Ontario universities program in field biology (OUPFB). OUPFB offers a diverse array of courses annually that normally take place at off campus locations. Field courses consist of lectures, field exercises, and a small project chosen in consultation with the course instructor(s). Contact the Biology Department field course coordinator for additional information. ","[Note: Field course fee: $400- $4500. A Biology Department field course information session is held in early January of each year]","Prereq: BIOL 110, 120/220; One of BIOL 150, 251, ENVS 200; STAT 202 or ENVS 278","",""
BIOL498A,"Short Biology Field Course 1","A one-week field study of terrestrial, aquatic and/or marine biology offered by the Ontario Universities Program in Field Biology (OUPFB). OUPFB offers a diverse array of courses annually that normally take place at off campus locations. Field courses consist of lectures, field exercises, and a small project chosen in consultation with the course instructor(s). Contact the Biology Department field course coordinator for additional information. ","[Note: Field trip fee: $400 - $2500.  A Biology Department field course information session is held in early January of each year]","Prereq: BIOL 110, 120/220; One of BIOL 150, 251, ENVS 200; STAT 202 or ENVS 278","",""
